id,song,acousticness,danceability,energy,instrumentalness,loudness,tempo,valence
2583,8737,0.2970,0.6930,0.5160,0.0001,-6.4460,94.0200,0.4940
2584,8738,0.0241,0.8580,0.4840,0.0000,-7.4480,99.9920,0.3290
2585,8739,0.0007,0.5180,0.7970,0.0000,-5.1530,132.9150,0.2930
2586,8740,0.1360,0.4210,0.7280,0.0000,-5.6440,150.1200,0.3110
2587,8741,0.0675,0.6760,0.4840,0.0000,-10.5320,117.1030,0.9020
2588,8742,0.0080,0.8260,0.6700,0.0000,-5.5590,74.0070,0.7940
2589,8743,0.3240,0.7480,0.7930,0.0000,-7.7950,104.8380,0.9160
2590,8744,0.0230,0.9420,0.8920,0.0009,-6.3630,100.0070,0.5950
2591,8745,0.0471,0.7000,0.5180,0.0000,-7.1910,75.9730,0.5420
2592,8746,0.2060,0.7340,0.5990,0.0000,-8.4620,145.1850,0.7720
2593,8747,0.2850,0.7710,0.6760,0.0000,-6.0180,119.9970,0.8040
2594,8748,0.0543,0.9640,0.6420,0.0000,-5.8310,107.0060,0.5470
2595,8749,0.0825,0.7860,0.5110,0.0000,-6.6600,80.0000,0.5870
2596,8750,0.0002,0.9060,0.6330,0.0000,-5.3160,84.0210,0.7790
2597,8751,0.0259,0.7920,0.5890,0.0001,-6.8690,157.1470,0.7780
2598,8752,0.3170,0.9400,0.7430,0.0000,-5.1660,118.9880,0.9320
2599,8753,0.2700,0.5240,0.6350,0.0000,-7.2200,127.6180,0.6030
2600,8754,0.0058,0.4940,0.8410,0.0000,-4.7840,162.0130,0.5670
2601,8755,0.0037,0.6780,0.5720,0.0001,-7.0330,87.1650,0.4440
2602,8756,0.0686,0.7450,0.3540,0.0000,-6.5440,84.0030,0.4150
2603,8757,0.0437,0.5370,0.8850,0.0000,-3.6410,131.6980,0.8020
2604,8758,0.0185,0.4650,0.7720,0.0000,-6.2810,82.3760,0.7410
3306,9467,0.0150,0.7620,0.8630,0.0000,-3.6890,106.0080,0.9650
3307,9468,0.0143,0.5770,0.5760,0.0000,-6.2990,133.9730,0.1200
3308,9469,0.0543,0.6250,0.5760,0.0000,-5.6930,179.0630,0.2350
3309,9470,0.0653,0.4210,0.8730,0.0000,-4.3430,84.8030,0.6300
3310,9471,0.2500,0.6640,0.6610,0.0000,-6.5590,124.9170,0.2690
3311,9472,0.4220,0.4220,0.6410,0.0000,-4.9470,187.0270,0.6540
3312,9473,0.0932,0.6650,0.7990,0.0001,-5.1210,94.9930,0.3500
3313,9474,0.2780,0.7680,0.8090,0.0000,-4.2040,111.9890,0.7480
3314,9475,0.1330,0.5380,0.8290,0.0000,-6.3890,167.9170,0.5450
3315,9476,0.0188,0.5940,0.5930,0.0000,-4.9410,130.2140,0.0665
3316,9477,0.2680,0.4210,0.4760,0.0000,-7.6920,169.7840,0.3000
3317,9478,0.1800,0.5320,0.8250,0.0000,-5.2870,169.9610,0.9600
3318,9479,0.0048,0.5220,0.9060,0.0000,-4.5710,96.9940,0.6670
3319,9480,0.0016,0.7940,0.6030,0.0001,-6.1270,127.9970,0.4020
3320,9481,0.0050,0.5510,0.8360,0.0000,-3.8380,185.0630,0.7580
3321,9482,0.3850,0.5090,0.5380,0.0000,-7.3350,75.0890,0.2440
3322,9483,0.0354,0.5260,0.8010,0.0000,-3.7170,172.0240,0.7690
3323,9484,0.0388,0.9360,0.6980,0.0000,-5.2340,97.5210,0.6890
3324,9485,0.0098,0.6020,0.9230,0.0000,-3.7630,136.0100,0.7650
3325,9486,0.2860,0.6520,0.7570,0.0000,-6.8190,159.9110,0.9620
3326,9487,0.0040,0.6450,0.5890,0.0000,-6.1310,131.8990,0.3500
3327,9488,0.9220,0.4220,0.2640,0.0000,-7.0640,119.9300,0.3310
3328,9489,0.0821,0.9130,0.7160,0.0000,-4.1370,94.9870,0.3900
3329,9490,0.0603,0.6620,0.7100,0.0000,-4.9450,121.9790,0.4650
3330,9491,0.0348,0.7600,0.6520,0.0000,-7.3210,100.3150,0.7590
