id,title,artist,year,rank
9745,Never Be Like You,Flume Featuring Kai,2016,60
9746,In The Night,The Weeknd,2016,61
9747,Me Too,Meghan Trainor,2016,62
9748,Ex's & Oh's,Elle King,2016,63
9749,Die A Happy Man,Thomas Rhett,2016,64
9750,White Iverson,Post Malone,2016,65
9751,Close,Nick Jonas Featuring Tove Lo,2016,66
9752,Unsteady,X Ambassadors,2016,67
9753,Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",2016,68
9754,Down In The DM,Yo Gotti Featuring Nicki Minaj,2016,69
9755,Luv,Tory Lanez,2016,70
9756,Sorry,Beyonce,2016,71
9757,Can't Feel My Face,The Weeknd,2016,72
9758,Hymn For The Weekend,Coldplay,2016,73
9759,Say It,Tory Lanez,2016,74
9760,Antidote,Travis Scott,2016,75
9761,Lost Boy,Ruth B,2016,76
9762,Side To Side,Ariana Grande Featuring Nicki Minaj,2016,77
9763,"Sit Still, Look Pretty",Daya,2016,78
9764,Wildest Dreams,Taylor Swift,2016,79
9765,Middle,DJ Snake Featuring Bipolar Sunshine,2016,80
9766,On My Mind,Ellie Goulding,2016,81
9767,Pop Style,Drake Featuring The Throne,2016,82
9768,When We Were Young,Adele,2016,83
9769,Hide Away,Daya,2016,84
9770,Lean On,Major Lazer & DJ Snake Featuring MO,2016,85
9771,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,2016,86
9772,Watch Me,Silento,2016,88
9773,Back To Sleep,Chris Brown,2016,89
9774,No Limit,Usher Featuring Young Thug,2016,90
9775,Cut It,O.T. Genasis Featuring Young Dolph,2016,91
9776,Really Really,Kevin Gates,2016,92
9777,All In My Head (Flex),Fifth Harmony Featuring Fetty Wap,2016,93
9778,Starving,Hailee Steinfeld & Grey Featuring Zedd,2016,94
9779,Adventure Of A Lifetime,Coldplay,2016,95
9780,Humble And Kind,Tim McGraw,2016,96
9781,Wicked,Future,2016,97
9782,Tiimmy Turner,Desiigner,2016,98
9783,See You Again,Wiz Khalifa Featuring Charlie Puth,2016,99
9784,Perfect,One Direction,2016,100
