id,title,artist,year,rank
8888,Bleeding Love,Leona Lewis,2008,2
8889,No One,Alicia Keys,2008,3
8890,Lollipop,Lil Wayne Featuring Static Major,2008,4
8891,Apologize,Timbaland Featuring OneRepublic,2008,5
8892,No Air,Jordin Sparks Duet With Chris Brown,2008,6
8893,Love Song,Sara Bareilles,2008,7
9386,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,2013,1
9387,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2013,2
9388,Radioactive,Imagine Dragons,2013,3
8894,Love In This Club,Usher Featuring Young Jeezy,2008,8
8895,With You,Chris Brown,2008,9
8896,Forever,Chris Brown,2008,10
8897,Sexy Can I,Ray J & Yung Berg,2008,11
8898,Take A Bow,Rihanna,2008,12
8899,Viva La Vida,Coldplay,2008,13
8900,I Kissed A Girl,Katy Perry,2008,14
8901,Whatever You Like,T.I.,2008,15
8902,Disturbia,Rihanna,2008,16
8903,Don't Stop The Music,Rihanna,2008,17
8904,Pocketful Of Sunshine,Natasha Bedingfield,2008,18
8905,Kiss Kiss,Chris Brown Featuring T-Pain,2008,19
8906,Closer,Ne-Yo,2008,20
8907,Bubbly,Colbie Caillat,2008,21
8908,Touch My Body,Mariah Carey,2008,22
8909,4 Minutes,Madonna Featuring Justin Timberlake & Timbaland,2008,23
8910,So What,P!nk,2008,24
8911,Paralyzer,Finger Eleven,2008,25
8912,Clumsy,Fergie,2008,26
8913,I'm Yours,Jason Mraz,2008,27
8914,Leavin',Jesse McCartney,2008,28
8915,Dangerous,Kardinal Offishall Featuring Akon,2008,29
8916,Tattoo,Jordin Sparks,2008,30
8917,See You Again,Miley Cyrus,2008,31
8918,Shake It,Metro Station,2008,32
8919,Stop And Stare,OneRepublic,2008,33
8920,Take You There,Sean Kingston,2008,34
8921,Paper Planes,M.I.A.,2008,35
8922,Hot N Cold,Katy Perry,2008,36
8923,Live Your Life,T.I. Featuring Rihanna,2008,37
8924,Bust It Baby Part 2,Plies Featuring Ne-Yo,2008,38
8925,American Boy,Estelle Featuring Kanye West,2008,39
8926,Got Money,Lil Wayne Featuring T-Pain,2008,40
8927,Our Song,Taylor Swift,2008,41
8928,Damaged,Danity Kane,2008,42
8929,A Milli,Lil Wayne,2008,43
8930,Sorry,Buckcherry,2008,44
8931,Independent,Webbie Featuring Lil' Phat & Lil' Boosie,2008,45
8932,Can't Believe It,T-Pain Featuring Lil Wayne,2008,46
8933,Like You'll Never See Me Again,Alicia Keys,2008,47
8934,Teardrops On My Guitar,Taylor Swift,2008,48
8935,When I Grow Up,The Pussycat Dolls,2008,49
8936,Sensual Seduction,Snoop Dogg,2008,50
8937,What You Got,Colby O'Donis Featuring Akon,2008,51
8938,It's Not My Time,3 Doors Down,2008,52
8939,Better In Time,Leona Lewis,2008,53
8940,Crank That (Soulja Boy),Soulja Boy Tell'em,2008,54
8941,Shadow Of The Day,Linkin Park,2008,55
8942,Sweetest Girl (Dollar Bill),"Wyclef Jean Featuring Akon, Lil Wayne & Niia",2008,56
8943,Miss Independent,Ne-Yo,2008,57
8944,Fall For You,Secondhand Serenade,2008,58
8945,In The Ayer,Flo Rida Featuring will.i.am,2008,59
8946,Say,John Mayer,2008,60
8947,One Step At A Time,Jordin Sparks,2008,61
8948,Hate That I Love You,Rihanna Featuring Ne-Yo,2008,62
8949,Superstar,Lupe Fiasco Featuring Matthew Santos,2008,63
8950,Suffocate,J. Holiday,2008,64
8951,Let It Rock,Kevin Rudolf Featuring Lil Wayne,2008,65
8952,Get Like Me,David Banner Featuring Chris Brown,2008,66
8953,Realize,Colbie Caillat,2008,67
8954,Put On,Young Jeezy Featuring Kanye West,2008,68
8955,The Time Of My Life,David Cook,2008,69
8956,Lolli Lolli (Pop That Body),"Three 6 Mafia Featuring Project Pat, Young D & Superpower",2008,70
8957,Cyclone,Baby Bash Featuring T-Pain,2008,71
8958,Love Like This,Natasha Bedingfield Featuring Sean Kingston,2008,72
8959,Burnin' Up,Jonas Brothers,2008,73
8960,Love Lockdown,Kanye West,2008,74
8961,I Luv Your Girl,The-Dream,2008,75
8962,Crush,David Archuleta,2008,76
8963,Hypnotized,Plies Featuring Akon,2008,77
8964,Big Girls Don't Cry,Fergie,2008,78
8965,Good Life,Kanye West Featuring T-Pain,2008,79
8966,Womanizer,Britney Spears,2008,80
8967,Love Story,Taylor Swift,2008,81
8968,Just Fine,Mary J. Blige,2008,82
8969,Piece Of Me,Britney Spears,2008,83
8970,The Boss,Rick Ross Featuring T-Pain,2008,84
8971,All Summer Long,Kid Rock,2008,85
8972,Can't Help But Wait,Trey Songz,2008,86
8973,In Love With A Girl,Gavin DeGraw,2008,87
8974,My Life,The Game Featuring Lil Wayne,2008,88
8975,I Remember,Keyshia Cole,2008,89
8976,Flashing Lights,Kanye West Featuring Dwele,2008,90
8977,Mrs. Officer,Lil Wayne Featuring Bobby Valentino & Kidd Kidd,2008,91
8978,7 Things,Miley Cyrus,2008,92
8979,You're Gonna Miss This,Trace Adkins,2008,93
8980,Love Remains The Same,Gavin Rossdale,2008,94
8981,Feels Like Tonight,Daughtry,2008,95
8982,The Way I Are,Timbaland Featuring Keri Hilson,2008,96
8983,Addicted,Saving Abel,2008,97
